snapshot_date,fantasypros_id,player_name,normalized_name,position,team,market_rank,market_metric,player_id,match_method,join_status,has_projection
2026-07-31,19788,Ja'Marr Chase,jamarrchase,WR,CIN,1.72,ecr,00-0036900,fantasypros_id,matched,True
2026-07-31,23180,Puka Nacua,pukanacua,WR,LAR,3.08,ecr,00-0039075,fantasypros_id,matched,True
2026-07-31,22968,Jahmyr Gibbs,jahmyrgibbs,RB,DET,3.31,ecr,00-0039139,fantasypros_id,matched,True
2026-07-31,23133,Bijan Robinson,bijanrobinson,RB,ATL,3.42,ecr,00-0038542,fantasypros_id,matched,True
2026-07-31,23070,Jaxon Smith-Njigba,jaxonsmithnjigba,WR,SEA,4.4,ecr,00-0038543,fantasypros_id,matched,True
2026-07-31,19799,Amon-Ra St. Brown,amonrastbrown,WR,DET,6.06,ecr,00-0036963,fantasypros_id,matched,True
2026-07-31,16393,Christian McCaffrey,christianmccaffrey,RB,SF,8.46,ecr,00-0033280,fantasypros_id,matched,True
2026-07-31,19202,CeeDee Lamb,ceedeelamb,WR,DAL,8.47,ecr,00-0036358,fantasypros_id,matched,True
2026-07-31,19236,Justin Jefferson,justinjefferson,WR,MIN,9.13,ecr,00-0036322,fantasypros_id,matched,True
2026-07-31,23163,Drake London,drakelondon,WR,ATL,11.94,ecr,00-0037238,fantasypros_id,matched,True
2026-07-31,19217,Jonathan Taylor,jonathantaylor,RB,IND,12.57,ecr,00-0036223,fantasypros_id,matched,True
2026-07-31,18218,A.J. Brown,ajbrown,WR,NE,15.29,ecr,00-0035676,fantasypros_id,matched,True
2026-07-31,20130,Nico Collins,nicocollins,WR,HOU,16.06,ecr,00-0036554,fantasypros_id,matched,True
2026-07-31,25989,Ashton Jeanty,ashtonjeanty,RB,LV,16.61,ecr,00-0040122,fantasypros_id,matched,True
2026-07-31,22936,Trey McBride,treymcbride,TE,ARI,18.43,ecr,00-0037744,fantasypros_id,matched,True
2026-07-31,22963,George Pickens,georgepickens,WR,DAL,18.6,ecr,00-0037247,fantasypros_id,matched,True
2026-07-31,22958,James Cook III,jamescook,RB,BUF,19.04,ecr,00-0037248,fantasypros_id,matched,True
2026-07-31,25324,Chase Brown,chasebrown,RB,CIN,19.07,ecr,00-0038597,fantasypros_id,matched,True
2026-07-31,23113,Rashee Rice,rasheerice,WR,KC,19.57,ecr,00-0039067,fantasypros_id,matched,True
2026-07-31,22955,Brock Bowers,brockbowers,TE,LV,20.78,ecr,00-0039338,fantasypros_id,matched,True
2026-07-31,20111,Chris Olave,chrisolave,WR,NO,21.13,ecr,00-0037239,fantasypros_id,matched,True
2026-07-31,23136,De'Von Achane,devonachane,RB,MIA,21.15,ecr,00-0039040,fantasypros_id,matched,True
2026-07-31,25395,Omarion Hampton,omarionhampton,RB,LAC,24.28,ecr,00-0040666,fantasypros_id,matched,True
2026-07-31,19222,DeVonta Smith,devontasmith,WR,PHI,24.79,ecr,00-0036912,fantasypros_id,matched,True
2026-07-31,17240,Saquon Barkley,saquonbarkley,RB,PHI,25.46,ecr,00-0034844,fantasypros_id,matched,True
2026-07-31,17298,Josh Allen,joshallen,QB,BUF,25.71,ecr,00-0034857,fantasypros_id,matched,True
2026-07-31,22916,Zay Flowers,zayflowers,WR,BAL,29.42,ecr,00-0039064,fantasypros_id,matched,True
2026-07-31,23072,Garrett Wilson,garrettwilson,WR,NYJ,30.32,ecr,00-0037740,fantasypros_id,matched,True
2026-07-31,23021,Kenneth Walker III,kennethwalker,RB,KC,30.63,ecr,00-0038134,fantasypros_id,matched,True
2026-07-31,17233,Lamar Jackson,lamarjackson,QB,BAL,32.31,ecr,00-0034796,fantasypros_id,matched,True
2026-07-31,25417,Tetairoa McMillan,tetairoamcmillan,WR,CAR,32.54,ecr,00-0040124,fantasypros_id,matched,True
2026-07-31,19211,Tee Higgins,teehiggins,WR,CIN,33.97,ecr,00-0036410,fantasypros_id,matched,True
2026-07-31,26122,Ladd McConkey,laddmcconkey,WR,LAC,36.61,ecr,00-0039915,fantasypros_id,matched,True
2026-07-31,25409,Malik Nabers,maliknabers,WR,NYG,37.28,ecr,00-0039337,fantasypros_id,matched,True
2026-07-31,23062,Emeka Egbuka,emekaegbuka,WR,TB,37.5,ecr,00-0040129,fantasypros_id,matched,True
2026-07-31,26006,Colston Loveland,colstonloveland,TE,CHI,37.64,ecr,00-0040126,fantasypros_id,matched,True
