target,feature,importance
target_total_fantasy_points,prior_year_total_fantasy_points,0.417113282181341
target_total_fantasy_points,prior_year_expected_fantasy_points,0.12888763036746165
target_total_fantasy_points,multi_year_weighted_points_per_game,0.07755796300420802
target_total_fantasy_points,prior_year_points_per_game,0.04696201757241277
target_total_fantasy_points,age,0.033037645715582466
target_total_fantasy_points,prior_year_replacement_adjusted_points,0.023634544395454912
target_total_fantasy_points,career_points_per_game,0.01814222470808409
target_total_fantasy_points,recent_5_points_per_game,0.01308926116662857
target_total_fantasy_points,prior_team_points_per_game,0.012974725378008404
target_total_fantasy_points,recent_usage_trend,0.012360470391033617
target_total_fantasy_points,career_games_missed_rate,0.011946651936765388
target_total_fantasy_points,prior_year_expected_points_per_game,0.011589765028620178
target_total_fantasy_points,prior_year_snap_share_std_dev,0.011447207295629895
target_total_fantasy_points,prior_team_offensive_plays_per_game,0.010204551885371465
target_total_fantasy_points,prior_year_usage_std_dev,0.010196372567299414
target_total_fantasy_points,prior_year_fantasy_points_over_expected,0.010105191975885865
target_total_fantasy_points,prior_year_positional_finish,0.00987588166370584
target_total_fantasy_points,prior_year_weekly_std_dev,0.00923400186023167
target_total_fantasy_points,recent_production_trend,0.009014930707969585
target_total_fantasy_points,prior_team_pass_rate,0.008910869719276947
target_total_fantasy_points,age_x_prior_missed_rate,0.008886856671189864
target_total_fantasy_points,prior_team_rush_rate,0.008842943545805022
target_total_fantasy_points,multi_year_weighted_snap_share,0.008664297696573361
target_total_fantasy_points,prior_year_coefficient_of_variation,0.008517658645567647
target_total_fantasy_points,years_experience,0.007859967231479522
target_total_fantasy_points,prior_year_snap_share,0.007589404273427145
target_total_fantasy_points,prior_year_receptions_per_game,0.007514159689907983
target_total_fantasy_points,prior_year_carries_per_game,0.007390778039076015
target_total_fantasy_points,multi_year_weighted_opportunities_per_game,0.007377918022228929
target_total_fantasy_points,prior_year_targets_per_game,0.006961496105768422
target_total_fantasy_points,recent_5_opportunities_per_game,0.006043290005913172
target_total_fantasy_points,prior_year_bust_week_rate,0.005415328146224249
target_total_fantasy_points,prior_year_opportunities_per_game,0.00535471043146927
target_total_fantasy_points,prior_year_boom_week_rate,0.00466656325670045
target_total_fantasy_points,career_seasons,0.003264356685305415
target_total_fantasy_points,prior_year_injury_report_weeks,0.0025561876729459083
target_total_fantasy_points,prior_year_passing_attempts_per_game,0.0020231155896943756
target_total_fantasy_points,prior_year_games_missed_rate,0.0018848683067039576
target_total_fantasy_points,prior_year_games_played,0.0011381599592357133
